Chain 1, X: Antigen
Chain 2, C: Heavy
Chain 3, D: Light
Chain 4, Z: Antigen
Chain 5, E: Heavy
Chain 6, P: Antigen
Chain 7, F: Light
Chain 8, H: Heavy
Chain 9, L: Light
